stimulus_range,stimulus_duration,onset,feedback,feedback_range_fromfile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation_cross.started,fixation_cross.stopped,interval_start.started,interval_start.stopped,interval_end.started,interval_end.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.started,key_resp_start.stopped,fixation_cross_reproduction.started,fixation_cross_reproduction.stopped,reproduction_start.started,reproduction_start.stopped,key_resp_stop.keys,key_resp_stop.rt,key_resp_stop.started,key_resp_stop.stopped,feedback_range,hit,stimulus_range,reproduction_end.started,reproduction_end.stopped,fixation_cross_feedback.started,fixation_cross_feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
ms_small,0.776,0.1,False,None,0,33,33,33,134.38485289999517,None,134.46834369999124,134.51815829999396,135.23467239999445,135.28512919999775,space,0.8368303999886848,135.23467239999445,None,136.10443479998503,None,136.10443479998503,136.16762809999636,space,0.6111871000030078,136.10443479998503,None,None,None,ms_small,136.7372398999869,136.80096659998526,136.7372398999869,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.847,0.1,False,None,0,34,34,34,137.25103899999522,None,137.33395759999985,137.38451740000164,138.1668559999962,138.2171590999933,space,0.793292799993651,138.1668559999962,None,138.98726199998055,None,138.98726199998055,139.05077539998456,space,0.6162960000219755,138.98726199998055,None,None,None,ms_small,139.63528200000292,139.70067009999184,139.63528200000292,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.741,0.2,False,None,0,35,35,35,140.1506715999858,None,140.3338720999891,140.38379469999927,141.06693489997997,141.11739349999698,space,0.8426547000126448,141.06693489997997,None,141.9365284999949,None,141.9365284999949,142.00043279997772,space,0.6745923999988008,141.9365284999949,None,None,None,ms_small,142.6487507999991,142.70008889999008,142.6487507999991,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.812,0.1,False,None,0,36,36,36,143.14999079998233,None,143.23259169998346,143.28332739998586,144.0329880999925,144.08401269998285,space,0.78712630001246,144.0329880999925,None,144.8529150999966,None,144.8529150999966,144.91635029998724,space,0.5443080000113696,144.8529150999966,None,None,None,ms_small,145.41865119998693,145.48299619997852,145.41865119998693,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.882,0.1,False,None,0,37,37,37,145.93295899999794,None,146.01617540000007,146.06609509998816,146.89933359998395,146.9497291999869,space,0.780002899991814,146.89933359998395,None,147.7023430999834,None,147.7023430999834,147.76582529998268,space,0.7738719999906607,147.7023430999834,None,None,None,ms_small,148.5013176999928,148.56560229999013,148.5013176999928,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,1.024,0.3,False,None,0,38,38,38,149.0157055000018,None,149.29900529998122,149.34886119997827,150.31542639998952,150.36602639997727,space,0.8313865000091027,150.31542639998952,None,151.16848429999663,None,151.16848429999663,151.23188700000173,space,0.9423972000076901,151.16848429999663,None,None,None,ms_small,152.13436169998022,152.1981947000022,152.13436169998022,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.847,0.2,False,None,0,39,39,39,152.64835489998222,None,152.83162689997698,152.8815667000017,153.6647915999929,153.7152602999995,space,0.8083593999908771,153.6647915999929,None,154.501153899997,None,154.501153899997,154.5645570999768,space,0.9795080999901984,154.501153899997,None,None,None,ms_small,155.4986282000027,155.5635599999805,155.4986282000027,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.918,0.2,False,None,0,40,40,40,156.0143072999781,None,156.19785029999912,156.24749599999632,157.1131262999843,157.16307889999007,space,0.9511534000048414,157.1131262999843,None,158.08406799999648,None,158.08406799999648,158.14735739998287,space,0.7738601000164635,158.08406799999648,None,None,None,ms_small,158.89485240000067,158.94681189997937,158.89485240000067,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.953,0.1,False,None,0,41,41,41,159.3970594999846,None,159.4804697999789,159.53038569999626,160.43031639998662,160.48080829999526,space,0.9175275999878068,160.43031639998662,None,161.3668311999936,None,161.3668311999936,161.43012609999278,space,0.8853636000130791,161.3668311999936,None,None,None,ms_small,162.28235929997754,162.3459030999802,162.28235929997754,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.882,0.3,False,None,0,42,42,42,162.79662259999895,None,163.07974789998843,163.1297501999943,163.96295980000286,164.01337829997647,space,0.8910632000188343,163.96295980000286,None,164.88280719998875,None,164.88280719998875,164.94618119997904,space,0.7932221000082791,164.88280719998875,None,None,None,ms_small,165.71037279997836,165.76213899999857,165.71037279997836,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
